,Gradient Boosting,Linear Regression,MLP,Random Forest
RMSE_MEAN,0.037122751625338825,0.05507425235987239,1.3608416903928386,0.030636788829037087
RMSE_MAX,0.08223799178736498,0.0834416971748921,6.8162061425480065,0.045473084119183584
RMSE_MIN,0.019816802060956533,0.035999781163166024,0.41781088736292266,0.019620406581060738
RMSE_VAR,8.142122701998261e-05,6.949535980769334e-05,1.20256630600901,2.139002257393307e-05
R2_MEAN,0.9584080205330996,0.9106117342036116,-88.82349117931547,0.9722505773933552
R2_MAX,0.9905906982331246,0.96894797153112,-3.8380060156491584,0.990776276840066
R2_MIN,0.8277262276365578,0.7707969160818775,-1587.450860935564,0.9286268546944002
R2_VAR,0.000534343751267104,0.001031918922804991,39436.32255066929,0.00010086776915305103
MAE_MEAN,0.02783825434811649,0.04299560285452648,0.9390646410033588,0.02430507401575385
MAE_MAX,0.048527166660822865,0.06657000539498192,2.6159344055067772,0.03499080459770108
MAE_MIN,0.01542555752763519,0.026699789518729172,0.32711551078269707,0.015433908045977012
MAE_VAR,2.358536673315024e-05,3.817224032169458e-05,0.19969975016457842,1.1995959794102808e-05
EVS_MEAN,0.9600394301729913,0.9142195278548461,-68.11728495337204,0.9732381134201572
EVS_MAX,0.9909654019172757,0.9689485998621907,-1.8526289624377545,0.990776656399672
EVS_MIN,0.8320572144123308,0.7735598126763669,-1522.4541934747465,0.9310093047096314
EVS_VAR,0.000511563785803614,0.0009773018481101414,36898.90691571044,9.682369320855292e-05
MAPE_MEAN,0.0540174293582007,0.08156903298165376,1.9305146772515474,0.04695117134180808
MAPE_MAX,0.1070956803482505,0.12411216995878935,6.351338547448759,0.06994330796859546
MAPE_MIN,0.03112639422516281,0.04696224464453934,0.5416664921844652,0.027355388002954232
MAPE_VAR,0.00014276668982911935,0.00018381362088349212,1.199304247821831,6.325039354050917e-05
